num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.010499, 47624.254538, 54.119641
1000, 0.020952, 47727.097677, 54.979167
1500, 0.032948, 45526.685937, 55.428202
2000, 0.045413, 44040.460905, 56.369282
2500, 0.059980, 41680.328923, 55.701160
3000, 0.075482, 39744.438175, 55.375776
3500, 0.088589, 39508.388141, 54.954769
4000, 0.102195, 39140.926874, 55.471382
4500, 0.114166, 39416.121943, 56.046605
5000, 0.131402, 38051.147875, 56.341648
5500, 0.146360, 37578.685377, 55.808865
6000, 0.161470, 37158.703900, 55.781419
6500, 0.174465, 37256.757736, 55.462504
7000, 0.190640, 36718.341532, 55.718962
7500, 0.205587, 36480.960725, 56.589807
8000, 0.217948, 36705.976758, 56.072262
8500, 0.233295, 36434.624698, 56.037251
9000, 0.247029, 36432.953805, 55.875065
9500, 0.265420, 35792.358105, 56.054928
10000, 0.276459, 36171.739027, 56.533289



