value-size,set_tput, get_lat, set_lat 
2, 7382.85, 3.46919, 3.51764 
4, 6077.72, 3.47606, 3.53543 
8, 8014.67, 3.50317, 3.57841 
10, 8279.92, 3.43984, 3.50800 
16, 5098.34, 3.34637, 3.41939 
20, 5013.01, 3.45801, 3.51084
30, 4837.79, 3.37720, 3.43978
32, 4622.69, 3.75491, 3.83725
40, 9953.69, 3.97554, 4.04919 
128, 7996.35, 3.88240, 3.96273 
256, 6116.46, 3.37526, 3.44467
512, 7562.02, 3.46678, 3.53504
1024, 7861.78, 3.61007, 3.71423
2056, 7230.25, 3.51041, 3.57007
4000, 5053.56, 3.40073, 3.47061 
4096, 4999.43, 3.44028, 3.51441

